Projector 1: (796.2, 25.8, 383.4), Projector 2: (866.3, 36.6, 532.4), Locations: Mount Waialeale, Type: s
Projector 1: (883.8, 35.8, 857.7), Projector 2: (867.1, 44.3, 964.0), Locations: Grand Canyon, Type: h
Projector 1: (920.2, 87.5, 615.3), Projector 2: (534.7, 86.2, 598.8), Locations: Grand Canyon, Type: s
Projector 1: (226.7, 49.8, 423.6), Projector 2: (318.4, 54.5, 639.4), Locations: Canmore, Type: h
Projector 1: (708.8, 53.7, 249.6), Projector 2: (652.5, 24.6, 666.7), Locations: Canmore, Type: s
Projector 1: (406.3, 90.6, 856.6), Projector 2: (539.8, 98.9, 964.0), Locations: Mount Wutai, Type: h
Projector 1: (571.4, 99.5, 948.0), Projector 2: (447.9, 96.2, 964.0), Locations: Mount Wutai, Type: s
Projector 1: (255.8, 48.2, 760.0), Projector 2: (128.0, 20.0, 964.0), Locations: Mount Waialeale, Type: s
Projector 1: (161.1, 35.7, 510.0), Projector 2: (401.8, 39.8, 567.6), Locations: Mount Waialeale, Type: h
Projector 1: (914.5, 66.7, 254.4), Projector 2: (964.0, 77.1, 415.1), Locations: Grand Canyon, Type: h
Projector 1: (790.9, 107.9, 151.1), Projector 2: (964.0, 82.4, 331.1), Locations: Grand Canyon, Type: s
